82,Tufts University School of Medicine,Massachusetts,Boston,https://en.wikipedia.org/wiki/Tufts_University_School_of_Medicine
83,Tulane University School of Medicine,Louisiana,New Orleans,https://en.wikipedia.org/wiki/Tulane_University_School_of_Medicine
84,UCSF School of Medicine,California,San Francisco,https://en.wikipedia.org/wiki/UCSF_School_of_Medicine
85,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,Maryland,Bethesda,https://en.wikipedia.org/wiki/Uniformed_Services_University_of_the_Health_Sciences
86,Universidad Central del CaribeSchool of Medicine,Puerto Rico,Bayamon,https://en.wikipedia.org/wiki/Central_University_of_the_Caribbean
87,University of Alabama School of Medicine,Alabama,"Birmingham, Tuscaloosa, Huntsville & Selma",https://en.wikipedia.org/wiki/University_of_Alabama_School_of_Medicine
88,University of Arizona College of Medicine - Phoenix,Arizona,Phoenix,https://en.wikipedia.org/w/index.php?title=University_of_Arizona_College_of_Medicine_-_Phoenix&action=edit&redlink=1
89,University of Arizona College of Medicine - Tucson,Arizona,Tucson,https://en.wikipedia.org/wiki/University_of_Arizona_College_of_Medicine
90,University of Arkansas for Medical Sciences/UAMS College of Medicine,Arkansas,Little Rock & Fayetteville,https://en.wikipedia.org/wiki/University_of_Arkansas_for_Medical_Sciences
91,"University of California, Davis School of Medicine",California,Sacramento,https://en.wikipedia.org/wiki/UC_Davis_School_of_Medicine
92,"University of California, Irvine School of Medicine",California,Irvine,"https://en.wikipedia.org/wiki/University_of_California,_Irvine_School_of_Medicine"
93,"University of California, Riverside School of Medicine",California,Riverside,https://en.wikipedia.org/wiki/UC_Riverside_School_of_Medicine
94,"University of California, San Diego School of Medicine",California,San Diego,"https://en.wikipedia.org/wiki/University_of_California,_San_Diego_School_of_Medicine"
95,University of Central Florida College of Medicine,Florida,Orlando,https://en.wikipedia.org/wiki/University_of_Central_Florida_College_of_Medicine
96,University of Chicago Pritzker School of Medicine,Illinois,Chicago,https://en.wikipedia.org/wiki/Pritzker_School_of_Medicine
97,University of Cincinnati College of Medicine,Ohio,Cincinnati,https://en.wikipedia.org/wiki/University_of_Cincinnati_Academic_Health_Center
98,University of Colorado School of Medicine,Colorado,Aurora,https://en.wikipedia.org/wiki/University_of_Colorado_School_of_Medicine
99,University of Connecticut School of Medicine,Connecticut,Farmington,https://en.wikipedia.org/wiki/University_of_Connecticut_School_of_Medicine
100,University of Florida College of Medicine,Florida,Gainesville & Jacksonville,https://en.wikipedia.org/wiki/University_of_Florida_College_of_Medicine
101,University of Hawaii at Manoa John A. Burns School of Medicine,Hawaii,Honolulu,https://en.wikipedia.org/w/index.php?title=John_A._Burns_School_of_Medicine&action=edit&redlink=1
102,University of Illinois College of Medicine,Illinois,"Chicago, Urbana, Peoria, & Rockford",https://en.wikipedia.org/wiki/University_of_Illinois_College_of_Medicine
103,University of IowaRoy J. and Lucille A. Carver College of Medicine,Iowa,Iowa City,https://en.wikipedia.org/wiki/Roy_J._and_Lucille_A._Carver_College_of_Medicine
104,University of Kansas School of Medicine,Kansas,"Kansas City, Wichita, Salina",https://en.wikipedia.org/wiki/University_of_Kansas_School_of_Medicine
105,University of Kentucky College of Medicine,Kentucky,Lexington,https://en.wikipedia.org/wiki/University_of_Kentucky_College_of_Medicine
106,University of Louisville School of Medicine,Kentucky,Louisville,https://en.wikipedia.org/wiki/University_of_Louisville_School_of_Medicine
107,University of Maryland School of Medicine,Maryland,Baltimore,https://en.wikipedia.org/wiki/University_of_Maryland_School_of_Medicine
108,University of Massachusetts Medical School,Massachusetts,Worcester,https://en.wikipedia.org/wiki/University_of_Massachusetts_Medical_School
109,University of Miami Leonard M. Miller School of Medicine,Florida,Miami,https://en.wikipedia.org/wiki/Leonard_M._Miller_School_of_Medicine
110,University of Michigan Medical School,Michigan,Ann Arbor,https://en.wikipedia.org/wiki/University_of_Michigan_Health_System
111,University of Minnesota Medical School,Minnesota,"Minneapolis, Duluth",https://en.wikipedia.org/wiki/University_of_Minnesota_Medical_School
112,University of Mississippi School of Medicine,Mississippi,Jackson,https://en.wikipedia.org/wiki/University_of_Mississippi_School_of_Medicine
113,University of Missouri-Columbia School of Medicine,Missouri,Columbia,https://en.wikipedia.org/wiki/University_of_Missouri_School_of_Medicine
114,University of Missouri Kansas City School of Medicine,Missouri,Kansas City,https://en.wikipedia.org/wiki/University_of_Missouri%E2%80%93Kansas_City_School_of_Medicine
115,University of Nebraska College of Medicine,Nebraska,Omaha,https://en.wikipedia.org/wiki/University_of_Nebraska_Medical_Center
116,"University of Nevada, Las Vegas School of Medicine",Nevada,Las Vegas,https://en.wikipedia.org/wiki/UNLV_School_of_Medicine
117,"University of Nevada, Reno School of Medicine",Nevada,Reno,"https://en.wikipedia.org/wiki/University_of_Nevada,_Reno_School_of_Medicine"
118,University of New Mexico School of Medicine,New Mexico,Albuquerque,https://en.wikipedia.org/wiki/University_of_New_Mexico_School_of_Medicine
119,University of North Carolina School of Medicine,North Carolina,Chapel Hill,https://en.wikipedia.org/wiki/University_of_North_Carolina_School_of_Medicine
120,University of North Dakota School of Medicine and Health Sciences,North Dakota,Grand Forks,https://en.wikipedia.org/wiki/University_of_North_Dakota_School_of_Medicine_and_Health_Sciences
121,University of Oklahoma College of Medicine,Oklahoma,Oklahoma City,https://en.wikipedia.org/wiki/University_of_Oklahoma_College_of_Medicine
122,University of Pittsburgh School of Medicine,Pennsylvania,Pittsburgh,https://en.wikipedia.org/wiki/University_of_Pittsburgh_School_of_Medicine
123,University of Puerto Rico School of Medicine,Puerto Rico,San Juan,https://en.wikipedia.org/wiki/University_of_Puerto_Rico_School_of_Medicine
124,University of Rochester School of Medicine and Dentistry,New York,Rochester,https://en.wikipedia.org/wiki/University_of_Rochester_Medical_Center
125,University of South Alabama College of Medicine,Alabama,Mobile,https://en.wikipedia.org/wiki/University_of_South_Alabama
126,University of South Carolina School of Medicine,South Carolina,Columbia,https://en.wikipedia.org/wiki/University_of_South_Carolina
127,University of South Carolina School of Medicine Greenville,South Carolina,Greenville,https://en.wikipedia.org/wiki/University_of_South_Carolina
128,University of South Florida College of Medicine,Florida,Tampa,https://en.wikipedia.org/wiki/University_of_South_Florida_College_of_Medicine
129,University of Tennessee College of Medicine,Tennessee,Memphis,https://en.wikipedia.org/wiki/University_of_Tennessee_College_of_Medicine
130,University of Texas Medical BranchSchool of Medicine,Texas,Galveston,https://en.wikipedia.org/wiki/University_of_Texas_Medical_Branch
131,University of Texas Medical School at Houston,Texas,Houston,https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_Houston
132,University of Texas Rio Grande Valley School of Medicine,Texas,Edinburg,https://en.wikipedia.org/wiki/University_of_Texas_Rio_Grande_Valley_School_of_Medicine
133,University of Texas School of Medicine at San Antonio,Texas,San Antonio,https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_San_Antonio_School_of_Medicine
134,University of Texas Southwestern Medical School at Dallas,Texas,Dallas,https://en.wikipedia.org/wiki/University_of_Texas_Southwestern_Medical_School
135,University of Toledo College of Medicine,Ohio,Toledo,https://en.wikipedia.org/wiki/University_of_Toledo_Medical_Center
136,University of Utah School of Medicine,Utah,Salt Lake City,https://en.wikipedia.org/wiki/University_of_Utah_School_of_Medicine
137,University of Vermont College of Medicine,Vermont,Burlington,https://en.wikipedia.org/wiki/University_of_Vermont_College_of_Medicine
138,University of Virginia School of Medicine,Virginia,Charlottesville,https://en.wikipedia.org/wiki/University_of_Virginia_School_of_Medicine
139,University of Washington School of Medicine,Washington,Seattle,https://en.wikipedia.org/wiki/University_of_Washington_School_of_Medicine
140,University of Wisconsin School of Medicine and Public Health,Wisconsin,Madison,https://en.wikipedia.org/wiki/University_of_Wisconsin_School_of_Medicine_and_Public_Health
141,Vanderbilt University School of Medicine,Tennessee,Nashville,https://en.wikipedia.org/wiki/Vanderbilt_University_School_of_Medicine
142,"VCU School of Medicine, Medical College of Virginia Health Sciences Division",Virginia,Richmond,https://en.wikipedia.org/wiki/VCU_School_of_Medicine
143,Virginia Tech Carilion School of Medicine and Research Institute,Virginia,Roanoke,https://en.wikipedia.org/wiki/Virginia_Tech_Carilion_School_of_Medicine_and_Research_Institute
144,Wake Forest School of Medicine,North Carolina,Winston-Salem,https://en.wikipedia.org/wiki/Wake_Forest_School_of_Medicine
145,Washington State University Elson S. Floyd College of Medicine,Washington,Spokane,https://en.wikipedia.org/wiki/Elson_S._Floyd_College_of_Medicine
146,Washington University School of Medicine,Missouri,St. Louis,https://en.wikipedia.org/wiki/Washington_University_School_of_Medicine
147,Wayne State University School of Medicine,Michigan,Detroit,https://en.wikipedia.org/wiki/Wayne_State_University_School_of_Medicine
148,Weill Cornell Medical College,New York,Manhattan,https://en.wikipedia.org/wiki/Weill_Cornell_Medical_College
149,West Virginia University School of Medicine,West Virginia,"Morgantown, Charleston,  Martinsburg",https://en.wikipedia.org/wiki/West_Virginia_University_School_of_Medicine
150,Western Michigan University Homer Stryker M.D. School of Medicine,Michigan,Kalamazoo,https://en.wikipedia.org/wiki/Western_Michigan_University_Homer_Stryker_M.D._School_of_Medicine
151,Yale School of Medicine,Connecticut,New Haven,https://en.wikipedia.org/wiki/Yale_School_of_Medicine
